first_name,last_name,firm_id,group,division,title,photo,business_card,email,phone_number,privacy,alma_mater
Simon,Ulrich,16,Natural Resource,Investment Banking (IBD),Director,placeholder,placeholder,Simon.Ulrich@bank.com,(472) 794-7911,YES,Wharton
Jon,Coreley,5,Restructuring,Investment Banking (IBD),Partner,placeholder,placeholder,Jon.Coreley@bank.com,(387) 634-4768,YES,Booth
Billy,Amato,10,Paper Packaging,Investment Banking (IBD),Vice President,placeholder,placeholder,Billy.Amato@bank.com,(862) 277-8879,YES,Booth
Bob,Quethein,11,Equity Capital Markets (ECM),Investment Banking (IBD),Vice President,placeholder,placeholder,Bob.Quethein@bank.com,(468) 446-2671,NO,Columbia
Roger,Pollar,1,Automotive,Investment Banking (IBD),Partner,placeholder,placeholder,Roger.Pollar@bank.com,(295) 796-4879,NO,Booth
Stephen,Pangen,9,Media,Investment Banking (IBD),Director,placeholder,placeholder,Stephen.Pangen@bank.com,(816) 653-6197,NO,Wharton
Sterling,Torchlight,15,Healthcare,Investment Banking (IBD),Executive Director,placeholder,placeholder,Sterling.Torchlight@bank.com,(338) 318-6387,YES,Wharton
Sue,Forscythe,17,Telecom,Investment Banking (IBD),Associate,placeholder,placeholder,Sue.Forscythe@bank.com,(999) 264-3879,NO,HBS
Christina,Rockefeller,18,Equity Capital Markets (ECM),Investment Banking (IBD),Associate,placeholder,placeholder,Christina.Rockefeller@bank.com,(896) 548-2875,NO,Booth
Kathleen,West,2,Debt Capital Markets (DCM),Investment Banking (IBD),Senior Managing Director,placeholder,placeholder,Kathleen.West@bank.com,(373) 499-2597,YES,HBS
Caroline,Eastman,15,Restructuring,Investment Banking (IBD),Vice President,placeholder,placeholder,Caroline.Eastman@bank.com,(649) 882-6482,NO,Wharton
Terri,Best,17,Media,Investment Banking (IBD),Partner,placeholder,placeholder,Terri.Best@bank.com,(995) 499-8647,NO,Booth
Juliet,Southman,1,Consumer & Retail,Investment Banking (IBD),Partner,placeholder,placeholder,Juliet.Southman@bank.com,(212) 288-6259,YES,HBS
Javier,Fez,17,Natural Resource,Investment Banking (IBD),Partner,placeholder,placeholder,Javier.Fez@bank.com,(172) 837-8631,NO,HBS
Miguel,Mansato,14,Consumer & Retail,Investment Banking (IBD),Senior Managing Director,placeholder,placeholder,Miguel.Mansato@bank.com,(245) 118-1738,YES,Columbia
Fred,Kacher,15,Infrastructure,Investment Banking (IBD),Director,placeholder,placeholder,Fred.Kacher@bank.com,(755) 348-3865,NO,MIT
Eugene,Toolsey,8,Transportation,Investment Banking (IBD),Associate,placeholder,placeholder,Eugene.Toolsey@bank.com,(246) 887-5861,NO,Columbia
David,Dachetti,3,Natural Resource,Investment Banking (IBD),Partner,placeholder,placeholder,David.Dachetti@bank.com,(781) 186-7222,YES,Wharton
Brant,Brockman,9,Financial Institutions (FIG),Investment Banking (IBD),Associate,placeholder,placeholder,Brant.Brockman@bank.com,(555) 777-8545,NO,Wharton
