Eliza.Fortin@school.com,password,Eliza,Eliza,Fortin,Business School
Shangril.Ochoterena@school.com,password,Shangril,Shangril,Ochoterena,Business School
Ryan.Liu@school.com,password,Ryan,Ryan,Liu,Business School
Joseph.Ortega@school.com,password,Joseph,Joseph,Ortega,Business School
Stephanie.Pragas@school.com,password,Stephanie,Stephanie,Pragas,Business School
Richard.Toledo@school.com,password,Richard,Richard,Toledo,Business School
Matt.O'Callaghan@school.com,password,Matt,Matt,O'Callaghan,Business School
Evan.Levinson@school.com,password,Evan,Evan,Levinson,Business School
Rob.Hamilton@school.com,password,Rob,Rob,Hamilton,Business School
Melissa.Estridge@school.com,password,Melissa,Melissa,Estridge,Business School
Dina.Darmali@school.com,password,Dina,Dina,Darmali,Business School
Jon.Hamilton@school.com,password,Jon,Jon,Hamilton,Business School
Atsushi.Schutt@school.com,password,Atsushi,Atsushi,Schutt,Business School
Claire.Gong@school.com,password,Claire,Claire,Gong,Business School
Eliza.Merchan@school.com,password,Eliza,Eliza,Merchan,Business School
Deena.Gong@school.com,password,Deena,Deena,Gong,Business School
Matt.Jachi@school.com,password,Matt,Matt,Jachi,Business School
Brian.O'Callaghan@school.com,password,Brian,Brian,O'Callaghan,Business School
Niclas.Matache@school.com,password,Niclas,Niclas,Matache,Business School
Darren.Stevens@school.com,password,Darren,Darren,Stevens,Business School
Nargiz.King@school.com,password,Nargiz,Nargiz,King,Business School
Irma.Pack@school.com,password,Irma,Irma,Pack,Business School
Baird.Merchan@school.com,password,Baird,Baird,Merchan,Business School
Simon.Wong@school.com,password,Simon,Simon,Wong,Business School
James.Johns@school.com,password,James,James,Johns,Business School
Darren.Cortez@school.com,password,Darren,Darren,Cortez,Business School
Darren.Goodwin@school.com,password,Darren,Darren,Goodwin,Business School
Danny.Xu@school.com,password,Danny,Danny,Xu,Business School
Baird.Cortez@school.com,password,Baird,Baird,Cortez,Business School
